YEAR,SCH,BOW,JMC,EDW,VOG,SOL,BIO,GAS,WIND,PC,DFO,RFO
2019,6.06302708,6.06402767,6.50348568,7.2955801,16.17733743,6.50104301,6.49563872,6.49756954,6.5004493,6.50147791,6.49954831,6.50044004
2020,6.15026254,6.15623887,6.48938739,6.524511848,16.16783567,6.4916571,6.48734929,6.48660207,6.49167838,6.48768416,6.49438931,6.49024632
2021,6.68243855,6.68490739,7.0396064,7.23337099,15.75277672,7.03361388,7.03863003,7.04005315,7.03463223,7.03264566,7.034367,7.03340056
2022,6.56898652,6.57664963,5.91981887,7.091882028,14.36921428,5.92235372,5.92867443,5.92192074,5.92878721,5.9251525,5.9209956,5.91991729
2023,6.95250407,6.94856173,5.83438115,6.643994643,15.14143005,5.83031899,5.83316145,5.83355446,5.82694587,5.83263215,5.8292688,5.8351876
