YEAR,SCH,BOW,JMC,EDW,VOG,SOL,BIO,GAS,WIND,PC,DFO,RFO
2019,19.97,12.48,40.1,0,5.42,12.57,24.27,25.52,12.56,7.48,66.35,45.5
2020,19.96,12.76,59.45,0,5.17,11.84,22.86,24.04,11.83,8.97,80.46,57.15
2021,20.3,12.7,60.55,0,4.92,10.66,20.57,21.63,10.65,10.91,101.76,52.1
2022,23.9,13.1,92.33,0,4.87,16.1,31.07,32.68,16.08,15.8,141.31,84.54
2023,25.55,13.95,61.68,0,4.72,15.87,30.63,32.21,15.86,17.23,156.75,114.5
